termTitle,part-of-language,partOfDefinition
sho?fa,(v),"to come untied (of a knot, etc.), come loose, come off (of a shoe, etc.), slip off, come apart"
sho?ffi,(v),"to remove, take off (clothing, a tire, a tablecloth, saddle, etc.)"
shofohli,(v),"to swell, be puffy, be swollen (of an ankle, face, etc.)"
shohbi,(v),"to become evening (doing an action), all day long"
shohp?kali,(v),"to shine (but not brightly), glow (of a face, etc.)"
shohp?kali,(adj),bright
sholi,(v),"to carry (wood, groceries) in the arms"
shua,(v),"to stink, reek (of something dead or rotten), rot, be rotten"
shua,(adj),"rotten, rotten smelling (of a potato, something dead)"
shu?ka,(v),"to suck, inhale, smoke (tobacco, etc.)"
shukbo,(n),blanket
shukcha,(n),"bag, sack, pocket, purse"
shukha,(n),"hog, swine"
shukha anumpa,(n),"a fable, story, tale"
shukha bila,(n),"lard, hog fat, grease"
shukha hob?k,(n),"barrow, castrated hog"
shukha ishki,(n),sow
shukha nakni,(n),boar
shukha nia shobohli,(n),bacon
shukha nipi,(n),pork
shukha nipi shila,(n),salt pork
shukha tek,(n),sow
shukhushi,(n),piglet
shukh?ta,(n),opossum
shukshi,(n),watermelon
shu?kumma,(n),"chiggers, red bugs"
shuk?ffi,(v),"to peel off (a scab, bark), chip"
shu?k?ni,(n),ant
shuk?tti,(n),frog
shulush,(n),shoe
shulush chaha,(n),"boot, shoe with high heels"
shulush ikbi,(n),"shoe maker, cobbler"
shulush isht t?llakchi,(n),shoestring
shunli,(v),"to be holding (a baby, backpack, book, etc.) in both arms"
shu?shi,(n),"bug (worm, spider, insect, etc.)"
shutik,(n),sky
shutok?chi,(v),"to be thumping several times (like something heavy in a box, or a basketball)"
shutuk! achi,(v),"to thump, thud, make the sound of someone punching someone or a bag of flour hitting the ground"
sh?chak! achi,(v),"to snap, crack, or rustle (like the sound of a mouse, a deer stepping on a twig, or someone searching through a purse)"
sh?chak?chi,(v),"to be rustling (making several cracking noises, like a deer walking on dry leaves)"
sh?kapa,(v),"to make a lot of noise (of a crowd, a bunch of kids, a flock of geese), make a racket"
sh?kinli,(n),grasshopper
sh?lak! achi,(v),"to slide, slip, come sliding in, make the sound of someone slipping"
sh?lintak,(n),comb
sh?lont?ki,(n),cricket
sh?na,(v),"to twist (of rope, etc.), turn, kink, writhe"
sh?na,(adj),twisted
sh?naia,(v),"to be winding (of a road, etc.), be crooked, leaning, lopsided"
sh?naia,(adj),"crooked (of a tooth, etc.), out of alignment"
sh?naioa,(v),"to twist, wind, wobble (of a trail, a duck, etc.)"
sh?naioka,(v),"(two or more) to be crooked (of teeth, etc.)"
sh?nakha,(n),the upper part of the back between the shoulders
sh?nni,(v),"to twist (a rope, etc.), coil, wrap around, screw, turn"
sh?po,(n),"hat, cap (from French )"
sh?poli,(v),"to put on, wear (a hat)"
sh?ponli,(v),to be wearing (a hat)
sh?tabli,(v),"to be bloated, swollen, constipated"
sh?tali,(v),to swell
sh?tali,(adj),swollen
sh?t?mmi,(v),"to rise (of dough, etc.), inflate, swell"
sh?t?mmi,(adj),"expanded, puffed up, risen (of dough)"
sh?t?mmichi,(v),"to leaven (dough), make (dough) rise"
sh?t?nni,(n),tick
sihi?ka,(v),"to neigh (of a horse), whinny, bray, whimper (of a dog)"
si?ka,(v),to whistle with joy (of a dog)
silik,(n),silk
Sim?noli,(n),Seminole
sini,(n),sycamore
sinti,(n),snake
sinti ab?ksha,(n),"chicken snake, black rat snake"
sinti chukfi,(n),"ground rattlesnake, pygmy rattlesnake"
sinti ch?hlakwa,(n),copperhead
sintullo,(n),rattlesnake
sintushi lumbo,(n),snake egg
sipokni,(v),to be old
sipokni,(adj),old (of a person or thing)
sipokni aiasha,(n),"place where the elderly live: nursing home, retirement home (new word)"
Siptimba,(n),September
sita,(v),"to be tied (of a string, etc.)"
sita,(n),ribbon
siteli,(v),"to bind, tie in a bundle, sheaf"
sukko,(v),"to be thick (of hair, etc.), coarse, dense"
sukko,(adj),thick
su?ksowa,(v),to kiss (older term) (usually requires a nasal marker )
s?,,a marker appearing before a verb and meaning ?me’ or ?I’
s?laha,(v),"to be slow, tardy"
s?laha,(adj),slow
s?laha hosh,(adv),slowly
s?lah?chi,(v),"to slow down (a car, etc.), retard, impede, cause to go slow"
s?lakha,(n),liver
s?lbo,(n),a callous
s?llaha,(v),"to be slower, go slowly"
s?llaha hosh,(adv),more slowly
s?nahchi,(n),wing
S?nti,(n),Sunday
,,
ta?fula,(n),a boiled hominy dish
taha,(v),"to come to an end, conclude, be finished, used up, empty, all gone, depleted"
tahakchi,(v),to tie (something) quickly
taha?kchi,(v),"to repeatedly tie (a child’s shoestrings, etc.)"
tahchi,(n),shoulder
tahchi foni,(n),shoulder blade
tahlapi,(num),five
tahlepa,(n),hundred (used with a numeral)
tahlepa sipokni,(n),thousand (used with a numeral)
tahli,(v),"to finish (doing something), complete, conclude"
tahp?la,(v),"to yell, shout, call out, scream"
tahtoli,(v),"to dust, dust off (a table, etc.)"
taiyakchi,(v),"to have finally tied (a calf at a rodeo, etc.)"
takali,(v),"(one) to hang, stick, be stuck (of a window, etc.)"
takalichi,(v),"to hang (one picture, coat, etc.), hang (someone on a cross, etc.)"
takanli,(v),"(one) to be hanging (on a branch, hook, etc.)"
takba,(v),"to be bitter, astringent (of a green persimmon, a bad pecan)"
takchi,(v),"to tie (a string, etc.), bind"
ta?kchi,(v),to be tying (and then doing something else)
takkon,(n),peach
takkon chito,(n),apple
takkon m?hlofa,(n),peach
takkon ?pi,(n),peach tree
takkon walakshi,(n),peach (or apple) dumplings
takkonushi,(n),plum
takkonushi walakshi,(n),plum dumplings
takla,(v),"to be cheap, reasonably priced"
takla,(pp),"with, among"
ta?kla,(v),"to be among, with"
tako?hli,(v),(two) to be hanging
takohlichi,(v),to hang (two or more)
takohma?ya,(v),(three or more) to be hanging
tak?ffi,(v),"to dip (water, etc.)"
talali,(v),"to set down (one item with a base, like a glass, a cup, a plate, a box, etc.)"
tala?ya,(v),"(one) to be setting (of a glass, something with a base)"
taloa,(v),"to sing, chant"
taloa,(n),song
talo?ha,(v),"(two glasses, items with a base) are setting"
talohli,(v),"to set, place (two or more items with bases, like glasses, cups, plates, etc.)"
talohma?ya,(v),"(three or more) to be sitting (of drinking glasses, items with a base)"
tamaha,(n),town
tamaha chito,(n),city
tamahushi,(n),"small town, community, village"
tamoa,(v),"(two or more) to disappear, go missing, get lost, go astray"
tanampo,(n),"gun, blowgun"
tanchi,(n),corn
tanchi bila,(n),corn oil
tanchi bokahli,(n),popcorn (new word)
tanchi b?chaya,(n),a row of corn
tanchi hakshup,(n),corn husk
tanchi holhpuni,(n),corn soup
tanchi lakchi ashela,(n),cooked grits
tanchi l?bona,(n),"hominy (a dish with boiled corn, beef, and pork)"
tanchi nihi,(n),"corn kernel, corn seed"
tanchi p?l?ska haw?shko,(n),sour cornbread
tanch?pi,(n),"corn stalk, corncob"
tani,(v),"to get up (from a lying position), rise"
tasaha,(v),"to yell, holler, shout"
ta?shbota,(n),"corn flour, corn meal (derived from )"
ta?shfotoha,(n),corn meal
te,(n),tea
tek,(n),"a female (human, animal, etc.)"
tekchi,(n),wife
tiak,(n),pine
tiak shua,(n),Virginia snakeroot
tiampa,(v),"to be disassembled (of a car, etc.), taken apart, have fallen apart"
tiapa,(v),"to fall apart (of a car, etc.), to scatter (of birds, etc.)"
tib?lli,(v),"to miss (a ball, mark, target, etc.), misunderstand"
tib?lli,(n),a mistake
tihlaya,(v),(two) to run
tihli,(v),to
tihlofa,(v),to be sprained
tihwa,(v),"to pop open (of a door, etc.), open suddenly"
tikambi,(v),"to be tired, worn out, fatigued, weak, weary"
tikba,(n),front
ti?kba,(n),"ahead, first"
tikba a?ya,(v),"to lead the way, precede"
tikba a?ya,(n),predecessor
tikba hikia,(n),a leader
tikba ia,(v),"(one) to go ahead, go in front"
ti?kba ia,(v),(one) to go first
ti?kbaka?,(adv),first (before something else)
tikbanli,(adj),"early (in the sense of arriving early), ahead, first (in time, in a line)"
tikeli,(v),"to put (something) up against (something), press, support, prop"
tikelichi,(v),"to cause (something) to be against (a wall, etc.)"
tilofa,(v),"to break off (of a branch, etc.), snap off"
timik?chi,(v),"to throb (of one’s heart, one’s head), beat (as of a drum), pound"
tipik?chi,(v),"to pound (of the heart, etc.)"
tippi?ha,(v),to tap lightly
tisheli,(v),"to scatter, disperse, dismiss, adjourn"
tishi homi,(n),"pepper (usually referring to black pepper, but also other peppers)"
tishi homi homma,(n),red pepper
tishi homi lusa,(n),black pepper
tishi homi okchamali,(n),green pepper
ti?shkila,(n),blue jay
tisho,(n),"servant, valet, escort, waiter"
Tisimba,(n),December
ti?bli,(v),"to take apart, tear down, scatter (a bunch of marbles, poolballs, etc.)"
tiwa,(v),to be open
ti?wa,(v),"to be opened, have been opened"
tiwachi,(v),to stir (something)
tiwwi,(v),"to open (a door, the mouth), unlock"
toba,(v),to become (something)
toba,(adj),"made, created"
tobachi,(v),"to create, beget (a child), start (a fire, etc.)"
tobaksi,(n),"charcoal, coal, coals"
tobi,(n),"bean, pea"
tobi abihla,(n),pole beans
tobi b?l?lli,(n),green beans
tobi chikchiki,(n),a type of speckled bean
tobi homma,(n),"pinto bean, red bean"
tobi lusa,(n),black beans
tobi nishkin lusa,(n),black-eyed peas
tobi shauwa,(n),bush bean
tobi tohbi,(n),"white beans, Great Northern beans"
tobli,(v),"to push (a car, door, etc.)"
toblit pila,(v),"to push (someone) over, shove"
tobok?chi,(v),"to gurgle softly, bubble (as water over a rock)"
tohbi,(v),to be white
tohbi,(adj),white
tohe,(n),"cabbage, kale"
tohto,(n),elm
tohwikeli,(v),"to shine, give light, radiate light, get light"
tokafa,(v),"to fire (of a gun), explode"
tokahli,(v),"to go off, shoot, fire (of guns)"
tokahlichi,(v),"to shoot off (fireworks, guns, etc.), fire off, repeatedly make the sounds of explosions"
toks?li,(v),to work
toks?li,(n),worker
tok?ffi,(v),"to fire once (of a gun), go off, discharge"
tolubli,(v),"to jump once, leap"
tolublit auan?bli,(v),"to jump across, jump over (a stream, etc.)"
tolu?kloha,(n),"gobbler, turkey (a euphemism)"
tomi,(v),"to shine (of the sun), be shining"
tonoho?li,(v),"to be rolling continuously (of a ball, etc.)"
tonoli,(v),"to roll (of a ball, etc.), roll over"
tonolichi,(v),"to cause (a ball, log, tire, etc.) to roll"
tonono?li,(v),"to be rolling around (unable to sleep), wallowing (of a hog)"
topa,(n),bed
topa shali,(n),daddy longlegs
tosholi,(v),"to interpret, translate, explain"
towa,(n),ball
tow?lhko,(adj),toasted
tow?lhkuchi,(v),"to brown, toast (bread, etc.)"
tuchina,(num),three
tufa,(v),to spit
tuffa,(n),summer
tuffahpi,(n),spring (the season)
tuftua,(v),to spit more than once
tuftuho?wa,(v),to be spitting repeatedly
tukhanto,(n),"dirt dauber, mud dauber"
tuklo,(num),two
tulli,(v),"to hop, jump repeatedly (as of a rabbit or horse)"
tushafa,(n),"smaller piece of a whole (whether cut, broken, etc.), part"
tushahlichi,(v),to break (something) into many pieces
tushbi,(v),"to rot, decay, be rotten"
tushbi,(adj),"rotten (of wood, a tooth), decayed"
tu?shpa,(v),"to be quick, fast"
tu?shpa hosh,(adv),"hurriedly, in a hurry, quickly, fast"
tu?shp?lit,(adv),"quickly, fast, hurriedly"
tu?shp?t k?n?lli,(v),to move quickly
tush?ffi,(v),to break off a piece
Tusti,(n),Tuesday
t?bi,(n),"a cane, walking stick, staff"
t?bli,(v),"to cut off, break off, pinch off (from dough, etc.)"
t?bokoli,(n),noon
t?bokoli illimpa,(n),lunch
t?bokoli ont ia,,past noon
t?li,(n),"rock, stone"
t?li ahoponi,(n),cook stove
t?li ai ittim anumpuli,(n),telephone conversation (new word)
t?li aianumpuli,(n),telephone (new word)
t?li anumpa,(n),"telephone (older word), telegram"
t?li chosopa,(n),chain
t?li fab?ssa,(n),"wire, any slender round piece of iron"
t?li hina,(n),"railroad tracks, railway"
t?li holisso,(n),money
t?li holisso ach?ffa,(n),one-dollar bill
t?li holisso lakna,(n),gold coins
t?li holisso pokkoli,(n),ten-dollar bill
t?li holisso sholi,(n),treasurer
t?li h?ta,(n),"silver, silverware, silver items (jewelry, etc.)"
t?li isht ashana,(n),"screw, lock"
t?li k?llo,(n),steel
t?li lakna,(n),gold
t?li ola,(n),bell
t?li pat?lhpo,(n),"stone or cement floor, stone or cement bridge"
T?lihina,(n),"Talihina: a town in Le Flore County, Oklahoma"
t?llakchi,(v),to be tied
t?llakchi,(adj),tied
t?lo?shik,(n),pebble
t?nakbi,(v),"to be crooked (of a nail, etc.), bent, hooked, curved"
t?nakbichi,(v),"to bend (a spoon, a bow, etc.)"
t?nn?p,(pp),"on the other side, across"
t?n?p,(n),war
t?n?p,(n),turnip (from the English)
t?n?p ittibi,(v),to fight a war
t?pa,(v),"to be cut off cleanly, cropped, bobbed"
t?pa,(adj),"cut off cleanly, cropped, bobbed"
t?pushik,(n),basket
t?p?ski,(v),"to be thin, dilute"
t?p?ski,(adj),thin (like a ribbon)
t?p?skichi,(v),"to thin (something), dilute"
t?sembo,(v),"to be wild, crazy, rabid"
t?sembo,(adj),"crazy, wild"
t?sembo aiasha,(n),mental institution (new word)
t?sembo isht abeka,(n),rabies
t?shka,(n),warrior
t?shka chipota,(n),soldier
t?shka sipokni,(n),veteran (new word)
t?shki,(v),"to lie down (of a person), recline"
,,
u?kuf,(n),persimmon
ulb?la,(pp),"behind, in back of"
ulb?laka,(pp),directly behind
ulb?laka a?ya,(v),to be walking behind
ulhkahchi,(adj),"canned, soaked, steeped, pickled"
ulhti,(n),district
untuchina,(num),eight
untuklo,(num),seven
ushi,,little
ushi,(n),son
ushi tek,(n),daughter
ushta,(num),four
usk?p,(n),small white crane
,,
?ba,(adv),"up, above the head, overhead"
?ba anumpa,(n),the gospel
?ba anumpa eshi,(n),"minister, pastor, Christian"
?ba anumpa isht anumpuli,(n),minister
?ba anumpa tosholi,(v),to preach
?ba anumpa tosholi,(n),"minister, evangelist, pastor"
?ba ashachi,(v),to put (three or more) up
?ba chakali,(v),to lift the head to look up
?ba chakkali,(v),to be looking up
?ba ia,(v),(one) to go up
?ba imma,(adv),upward
?ba isht ia,(v),"(one) to take (something) up, raise (a flag, etc.)"
?ba isht taloa,(n),a hymn
?ba pat?lhpo,(n),"roof, decking"
?ba peni,(n),airplane
?ba pila,(v),"to throw (a ball, etc.) up"
?ba weli,(v),"to hold up, offer up (a book, prayer, etc.)"
?ba yakni,(n),heaven
?banapoli,(v),"(two or more) to go across, pass over (someone in a promotion), skip over"
?ban?bli,(v),"(one) to go across, cross (a street, field, fence, etc.)"
?ban?blichi,(v),"to cause, help, make (someone) go over or cross (a house, road, fence, stream, etc.)"
?ban?blichit,(adv),(move or direct something) over
?ban?blichit pila,(v),"to throw (something) over (a house, net, etc.)"
?ban?pa,(v),"to go over (the edge of something, a time limit, a budget)"
?bi,(v),"to kill (an animal, person, etc.)"
?boiya,(v),"to climb, go up, ascend"
?hli,(n),"edge, border, boundary, side (of a road), end"
?la,(v),"(one) to get here, arrive, come here"
?lbo,(v),"to be adhering, sticking"
?lb?ni,(adj),barbecued
?lhka?ma,(v),"to already be closed (of a door, container, shop, etc.)"
?lhk?ma,(v),"to close (of a door, etc.)"
?lhk?ta,(adj),"patched, mended"
?lhpesa,(v),"to be okay, all right, well"
?lhpesa,(adj),"right, just, proper, honest"
?lhpes?chi,(v),"to correct, justify"
?lhpichik,(n),nest
?lhpiesa,(v),"to be just, absolutely right, proper"
?lhpisa,(v),to be measured
?lhpisa,(n),"a measurement, decision, judgment"
?lhpisachi,(v),"to discipline (a child, student, etc.)"
?lhpishi,(n),pillow
?lhpishi i? shukcha,(n),pillowcase
?lhpita,(adj),"caged, penned (as is done to fatten up a hog)"
?lhpoa,(v),"to be born (of a child, etc.)"
?lhpoa,(adj),domesticated (of animals)
?lhpusha,(adj),roasted
?lhtaha,(v),"to be ready (of food, etc.), finished"
?lhtakla,(adj),"orphaned, abandoned, bereft, having lost a spouse"
?lhtakla aiasha,(n),orphanage
?lhtipo,(n),"tent, cover, tarp"
?lhtoba,(v),to be paid
?lhtoba,(adj),paid
?lhtob?t illi,(v),"to die for another, sacrifice oneself"
?lhtoka,(v),"to be selected, elected"
?lhtoka,(adj),"elected, appointed"
?lhtumba,(v),"to stand in for (someone), substitute for, serve as a proxy for"
?lla,(n),"young person, child (from a toddler to about the age of 10 or 11)"
?lla apes?chi,(n),a baby sitter
?lla apistikeli,(n),a pedophile
?lla himithoa,(n),"young people, youths"
?lla himitta,(n),"young person, youth, a teenager"
?lla ho?kopa,(n),a kidnapper (new term)
?lla holba,(v),"to resemble a child, have a child-like appearance"
?lla holba,(n),
?lla i? topa,(n),a child’s bed
?lla ilahobbi,(v),"to act like a child, be childish, immature"
?lla nakni,(n),boy
?lla nakni ossi,(n),little boy
?lla ossi,(n),toddler
?lla ossi now?t taha,(n),a toddler
?lla shali,(n),"something that transports children: school bus, etc."
?lla tek,(n),girl
?lla toba,(n),adopted child
?lla ?lhtakla,(n),"an orphan, orphaned child"
?llo?si,(n),"infant, newborn, baby (until a toddler)"
?llo?si i? topa,(n),"a crib, cradle, child’s bed"
?llo?si ik atto ki?sha,(n),an unborn baby
?lmo,(adj),"mowed, picked, cut (of hair)"
?lw?sha,(adj),fried
?m,,a possessive marker appearing before a noun and meaning ?my’
?mmi,(pro),mine
?mmona,(adj),the first
?mo,(v),"to harvest, pick (berries, etc.)"
?ni,(v),"to bear (of a plant), fruit, bloom, produce fruit or seeds"
?ni,(v),"to put (something) in, pour into"
?ni,(n),"fruit, nut, berry, new growth on a plant"
?nnoa,(adj),"told, informed"
?nnoachi,(v),"to announce, proclaim, tell, inform"
?no,(pro),"I, me"
?no ak kia,(pro),"me too, I also"
?pa,(v),to eat (a food)
?pi,(n),"trunk (of a tree), stem (of a plant), stalk"
?pishia,(n),porch
?ppiss?t,(adv),very straight (derived from )
?p?t pisa,(v),"to taste (a food), take a bite of (to taste)"
?shwa,(v),"(two) to live (in a place), dwell"
?ss?no,(adj),"mature, full-grown, adult"
?ss?nochi,(v),to be elderly
?ss?nochi,(adj),mature
?ss?nochit taha,(v),"to be old, elderly"
?ss?nonchi,(adj),elderly
?tta,(v),"(one) to live (in a place), dwell"
?tta tuk nittak,(n),birthday
?ttahpi,(n),the firstborn
?tt?t a?ya,(v),"(one) to travel around, roam around, wander around"
,,
wahnuta,(n),yard
waiya,(v),"to be leaning, bent over (of a tree, etc.)"
wak,(n),"cattle, cow"
wak apes?chi,(n),cowboy
wak bila,(n),"rendered beef fat, beef lard, tallow"
wak hob?k,(n),steer
wak innuchi,(n),"yoke, collar"
wak ishki,(n),"cow, old cow"
wak nakni,(n),bull
wak nia,(n),"beef fat, tallow"
wak nipi,(n),beef
wak pishukchi,(n),cow’s milk
wak tek,(n),"cow, female cattle"
wak toks?li,(n),ox
wakama,(v),"to open up (of the earth, a wound, a space between tables), spread out"
waka?ma,(v),"to be opened, to have a space"
wakaya,(v),"(one) to get up (from a sitting position), rise (to one’s feet)"
wakayoha,(v),"(two or more) to rise, get up"
wakay?chi,(v),"to raise, lift (something), help (someone) get to their feet, start (a church) back up"
wakch?lali,(v),"to straddle, have the legs sprawled, spread"
wakeli,(v),"to raise, lift (something)"
wakelichi,(v),"to revive (a church, etc.), establish (an organization)"
wakushi,(n),calf (young cow)
wak?mmi,(v),"to open (a container, the eyes)"
walaha,(adj),"clotted (of blood), clabbered (of milk)"
walakshi,(n),dumplings (traditionally made with fruits or meat)
waloha,(v),"to be tender, soft, young (of beans, shoots, etc.)"
walohbi,(adj),"supple, flexible, tender, limber, pliant"
washa,(n),a large type of locust
washoha,(v),"to play (with a ball, a toy, etc.), play (a piano)"
washoh?chi,(v),"to get (someone) to play (games, etc.)"
waya,(v),"to bear (fruit), produce (of a plant), ripen, yield"
waya,(n),peanut
waya bahpo,(n),peanut butter (older word)
waya bila,(n),peanut oil
way?chi,(v),"to raise (crops, animals), grow (crops)"
wehli,(v),to take (old term)
wehpuli,(v),"to rob, take possessions from, plunder"
weki,(v),"to have a weight, be heavy"
weki,(adj),"heavy, weighty, hefty"
weki ach?ffa,(n),one pound
weki iksho,(v),"to be weightless, light"
wekichi,(v),to weigh (something)
wekichi,(n),"someone who weighs (cotton, etc.)"
weli,(v),"to extend (the hand, etc.), hold out, offer"
wichali,(v),"to be unkempt, messed up (of hair, etc.)"
wiha,(v),"to move (to a new house), migrate (of animals)"
wihachi,(v),to move (someone to a new house)
wihachi,(n),a professional mover (new word)
winak?chi,(v),"to shake, rock (of the ground, the car in a gust of wind, etc.)"
winak?hanchi,(v),"to be rocking continuously (of a child in a swing, a pendulum, etc.)"
winalichi,(v),"to shake (a bed, etc.)"
Winsti,(n),Wednesday
wishakchi,(n),end (of an object)
wishik! achi,(v),to make a spurting sound
woha,(v),"to moo (of a cow), howl, bay (of a dog), roar (of a lion)"
wohlichi,(v),to bark at
woh?chi,(v),to honk (a car horn)
wohwa,(v),"to bark (of a dog), howl, yelp"
wonuksho,(v),"to be fluffy, woolly, fuzzy, hairy, kinky (of fur or hair)"
woshoshok! achi,(v),to be growling (of someone’s stomach)
wulhko,(v),to be blistered (of a body part)
wulhko,(n),a blister
w?hlana,(n),horse-fly
w?hl?lli,(v),"to boil (of water, coffee, etc.)"
w?hl?llichi,(v),"to boil (a liquid, water, etc.)"
w?lhpila,(v),"to back up, go backwards"
w?nnichi,(v),"to shiver (from cold), shake (from fear), tremble"
w?shk?bi,(v),"to have mange, be mangy"
w?shk?bi,(adj),mangy
w?sh?na,(v),"to buck, kick (of a horse)"
w?tonlak,(n),crane
w?tta,(n),hunter
,,
yaha?ya,(v),to be crying continuously
yahlichi,(v),to itch
yak a!,(interj),look out!
yake!,(interj),look! behold!
yakmihchi,(v),to do it this way
yakni,(n),"land, earth, ground"
yakni bila,(n),gasoline
yakni b?shli,(v),to plow land
yakni chiluk,(n),"a hollow, hole in the ground, pit, cave"
yakni foi,(n),yellow jacket
yakni isht p?tafa,(n),a plow
yakni isht ?lhpisa holisso,(n),map (new word)
yakni kanchi,(n),"realtor, real estate agent (new word)"
yakni kula,(n),"earth that has been dug out: a mine, cellar, ditch, etc."
yakni pushechi,(v),"to till the ground, plow, pulverize (dirt clods, rocks, etc.)"
yakni p?t?ssa,(n),"flat land, level land"
yakni t?lhk?chi,(n),islands
yakni t?shaya,(n),island
yakni ?lhpisa,(n),"a plot, section of land"
yakni winak?chi,(n),earthquake
yakoke,(interj),thank you
yaya,(v),"to cry (of a baby, a child, etc.)"
yaya,(n),mourner (older term)
yihlepa,(v),(three or more) to run
yihlik! achi,(v),"to jump with a start, make the sound of a sudden movement when startled"
yiko?fa,(adj),furrowed (of the brow)
yiko?wa,(adj),"wrinkled (of clothes, a face, etc.)"
yikuffa,(n),gnats
yimita,(v),"to be frisky, energetic, active, vigorous, eager, industrious"
yimmi,(v),to believe
yimmita,(v),to be very excited
yoba,(v),"possibly, perhaps, may be, can"
yohabli,(v),to loosen
yohablichi,(v),"to loosen (a jar lid, screw, etc.), cause to loosen"
yohapa,(v),"to be loose (of a bolt, screw, elastic on pants, etc.)"
yohbichi,(v),"to make mild, soften (one’s heart)"
yohchunoli,(v),to bow (the head)
yohmi,(v),"to do so, be thus, so"
yohmi akinli kia,,even though
yohmi kia,,"although, but, nevertheless, even so"
yohmi m?hli,,that’s true; of course
yohmi tuk kia,,anyway (in the past)
yohmikma?,(conj),"and then (in the future), when it is so"
yokobli,(v),to stop (someone or something in motion)
yokopa,(v),"to stop, halt, quit, come to a stop, take a break from (doing something)"
yokop?chi,(v),"to make (a car, etc.) stop"
yopisa,(v),"to look around, explore, check things out, observe"
yopisa,(n),observer
yopula,(v),"to joke, make fun"
yoshoba,(v),"to be lost, gone astray"
yoshobli,(v),"to confuse (someone), deceive"
yuka,(v),"to be imprisoned, enslaved, captured"
yuka,(n),"a slave, prisoner, a captive"
yuka kiyo,(v),to be free (not a slave)
yuka kiyo,(n),"freedom, liberty"
yukachi,(v),"to capture, trap, catch (a person or animal)"
yukpa,(v),"to smile, laugh"
yukpali,(v),"to make (someone) joyful, bless"
yukp?chi,(v),to make (someone) laugh or smile
yulhk?n,(n),mole (the animal)
yulhk?n chito,(n),elephant
yululli,(v),to
yupi,(v),"to bathe, take a bath"
yushbonoli,(adj),curly-headed
yushkoboli,(adj),round-headed
yushkololi,(adj),short (of an object—not a distance)
yushmilali,(adj),bald
yushwichali,(v),to have unruly or messy hair
yuskuloli,(adj),short in length (not long)
yuwala,(v),to be nauseated
y?kohmi,(v),to be like this
y?komihchi,(v),to be doing it like this
y?la,(n),grub worm
y?lhki,(n),"feces, excrement, manure"
y?lhki tonochi,(n),"tumble bug, dung beetle"
y?loba,(n),tadpole
y?mma,(Demonstrative),"that, those"
y?mma ak kia,(pro),"that one, too; that one also"
y?mmak imma,(adv),that way
y?mmi,(v),to be seasoned
y?mmi iksho,(v),to not have flavor
y?mmichi,(v),to season
y?mmit ik ono,(v),to not have enough seasoning
y?mm?k fokakma?,(adv),"then, at about that time"
y?mm?k fokalih ma?,(adv),"about then, at about that time"
y?mm?k fokkalikma?,(adv),at about that point (in the future)
y?mohmi,(v),to be like that
y?momihchi,(v),to do it like that
y?m?ska,(adj),kneaded (of dough)
y?m?ska,(v),"to be kneaded (of dough, concrete, etc.), knead"
y?m?sli,(v),"to knead (dough, etc.)"
y?nha,(v),"to have a fever, be feverish"
y?nha,(n),a fever
y?n?lli,(v),"to flow, run (of a creek, water, etc.), be runny (of one’s nose)"
y?n?lli,(adj),flowing (of water)
y?n?sh,(n),"buffalo, bison"
y?n?sh nipi,(n),buffalo meat
